Beat,Ward,Community Area,Day_sin,Season_Autumn,Season_Spring,Season_Summer,Season_Winter,Day Time_Afternoon,Day Time_Early Morning,Day Time_Morning,Day Time_Night,Domestic_tag,IUCR_freq,Primary_Type_freq,Location_Description_freq,FBI_Code_freq,Crime_District_freq,Nearest_Police_Station_District_freq,Nearest_Police_Station_District_Name_freq,X Coordinate_standardized,Y Coordinate_standardized,Latitude_standardized,Longitude_standardized,Distance Crime To Police Station_standardized,Arrest_tag
724,16,67,0.9749279121818236,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,0.0018055042943071,0.1117317878482578,0.0006633482628255,0.1117317878482578,0.0422248600983551,0.042204909774661,0.042204909774661,0.2565123162538422,-0.7827627972323538,-0.7819762022226139,0.1573243452940748,-1.950284226654354,0
2223,21,73,0.7818314824680298,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0.0623098484772915,0.1797075282546459,0.0066384702091791,0.1492034833265169,0.0311075422198725,0.0273269558798591,0.0273269558798591,0.4390888370299199,-1.49981923928511,-1.498284901374438,0.0090567906669132,1.1746563413527171,0
725,16,67,0.7818314824680298,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0599656854432463,0.1117317878482578,0.2733992359026025,0.1117317878482578,0.0422248600983551,0.042204909774661,0.042204909774661,0.0941672477799784,-0.8046883229269601,-0.8032047468131412,0.1573243452940748,-2.4912337418593298,0
1533,28,25,-0.9749279121818236,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0142046304701293,0.0357459924787279,0.0340153018982733,0.0357459924787279,0.0338756496324152,0.0370776765853025,0.0370776765853025,-1.3790278948605084,0.3808403542773649,0.3853500969653086,-1.9270783254707584,-0.2884587787997951,0
2221,21,73,0.7818314824680298,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0.0446737623317938,0.2280521501461361,0.0353569611666949,0.2310895869285479,0.0311075422198725,0.0273269558798591,0.0273269558798591,0.1280919391403983,-1.433441529462189,-1.4307877394823876,0.0090567906669132,1.192265756761336,0
623,6,69,-0.7818314824680299,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1,0.0184191363504872,0.0913774700994523,0.1214376203253897,0.0308382128500034,0.0577761374178296,0.057242466259015,0.057242466259015,0.7907336832949264,-1.0885811686090718,-1.0893653594517438,0.4808848741841525,0.0445593820289706,0
523,9,53,-0.9749279121818236,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0,0.0020149826930941,0.1117317878482578,0.1214376203253897,0.1117317878482578,0.0398008957695338,0.0273269558798591,0.0273269558798591,0.5544327876553474,-2.059632012214931,-2.057412859583909,0.0090567906669132,1.257032416778784,0
1624,45,15,-2.4492935982947064e-16,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,0.0712974693014394,0.2280521501461361,0.1214376203253897,0.2310895869285479,0.0353868866522359,0.0252521222156829,0.0252521222156829,-1.3566992798196502,1.2749145687129824,1.2774785938047477,-1.1484767568936507,0.1977578931260291,0
1414,1,22,0.4338837391175582,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,0.0169029117497431,0.0331075621701962,0.0243344073257588,0.0300701253877844,0.0383744476254127,0.0592973495994972,0.0592973495994972,-0.6109728824606029,0.9246440132079496,0.925241284474548,-0.5528958433558775,-1.0611616575239726,0
2411,40,2,0.7818314824680298,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0748835399854362,0.2280521501461361,0.010563696395974,0.2310895869285479,0.0338706620514917,0.0386437769952817,0.0386437769952817,-0.238356408809155,1.858772651206874,1.8559752569958283,-0.0454050520604762,-0.5087611955875465,0
411,8,45,-2.4492935982947064e-16,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1,0.0628185817314885,0.0854671867051043,0.2733992359026025,0.0854671867051043,0.0537960478408762,0.0944747578529461,0.0944747578529461,1.3162579930963394,-1.103894234173559,-1.1069160130263598,1.228325543638219,0.3328242644679832,0
223,3,38,0.9749279121818236,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1,0.0100998513700884,0.0661053975600754,0.1925355863898891,0.0730231723009705,0.0506239463735299,0.0432423266067492,0.0432423266067492,0.8889919257261061,-0.4396425574661103,-0.4422008434172701,0.7463808703116109,-0.3667570506408345,0
1132,24,26,0.9749279121818236,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,0.0033366916378218,0.1797075282546459,0.2733992359026025,0.0320452074334906,0.0531476623208211,0.0565442049297249,0.0565442049297249,-0.9629878162677232,0.3017755798028751,0.3049740344806322,-0.7089899449031721,-0.0075693653541168,0
1113,28,26,-0.433883739117558,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0100449879799299,0.0620105936218815,0.1925355863898891,0.0555915769733363,0.0531476623208211,0.0370776765853025,0.0370776765853025,-1.1527810441150177,0.4291208047968013,0.4327347077755666,-1.9270783254707584,0.7056769787614658,0
2413,50,2,-0.9749279121818236,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,0.0623098484772915,0.1797075282546459,0.0151323205219004,0.1492034833265169,0.0338706620514917,0.0386437769952817,0.0386437769952817,-0.3451883459659681,1.7374703921691814,1.7353438672358086,-0.0454050520604762,-0.3384919545291254,0
531,9,50,0.7818314824680298,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,0.0102943670261049,0.0661053975600754,0.1214376203253897,0.0730231723009705,0.0398008957695338,0.0359305329728974,0.0359305329728974,1.0910597237201705,-1.8246207497913571,-1.8251565881118288,1.2524494653361176,-2.0549951402840865,0
111,34,32,-2.4492935982947064e-16,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0.0047930652674839,0.0620105936218815,0.0173767319374756,0.0555915769733363,0.0557860926293529,0.0895719658051451,0.0895719658051451,0.6848886462504165,0.4242168271883396,0.4207080817011182,0.497914907297862,0.6580664228727172,0
1931,32,7,-0.433883739117558,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0,0.0446737623317938,0.2280521501461361,0.0173767319374756,0.2310895869285479,0.0526888048758591,0.0592973495994972,0.0592973495994972,-0.0925419172163686,0.9004405108177997,0.8990951130382887,-0.5528958433558775,0.2695675033130854,0
