Beat,Ward,Community Area,X Coordinate,Y Coordinate,Latitude,Longitude,Distance Crime To Police Station,Day_sin,Season_Autumn,Season_Spring,Season_Summer,Season_Winter,Day Time_Afternoon,Day Time_Early Morning,Day Time_Morning,Day Time_Night,Domestic_tag,IUCR_freq,Primary_Type_freq,Location_Description_freq,FBI_Code_freq,Crime_District_freq,Nearest_Police_Station_District_freq,Nearest_Police_Station_District_Name_freq,Arrest_tag
1632,38,17,1127783.0,1922712.0,41.944238241,-87.76557448,8.385418806314805,0.9749279121818236,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0,0.0102943670261049,0.0661053975600754,0.1214376203253897,0.0730231723009705,0.0353868866522359,0.0503945176510488,0.0503945176510488,1
321,6,42,1182717.0,1860597.0,41.77268594,-87.60574786,6.544998213516973,0.7818314824680298,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,0.0192221368791708,0.031022753344173,0.0538259733264172,0.0317958283873155,0.051571586748995,0.0944747578529461,0.0944747578529461,1
1834,2,8,1176606.0,1905216.0,41.895263694,-87.64335214,7.399142084778536,0.7818314824680298,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0.0192221368791708,0.031022753344173,0.0538259733264172,0.0317958283873155,0.0508783130006284,0.0895719658051451,0.0895719658051451,1
524,21,53,1173187.0,1824347.0,41.673426777,-87.66852039,8.004754804251817,-2.4492935982947064e-16,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0.0010623547367056,0.0661053975600754,0.0538259733264172,0.0730231723009705,0.0398008957695338,0.0273269558798591,0.0273269558798591,1
723,16,68,1171746.0,1862075.0,41.7769894,-87.66088702,7.153466463599039,-2.4492935982947064e-16,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0.0021197218924877,0.1797075282546459,0.1925355863898891,0.0320452074334906,0.0422248600983551,0.042204909774661,0.042204909774661,1
1524,37,25,1140502.0,1905748.0,41.897462844,-87.76819989,7.632789533842604,-2.4492935982947064e-16,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0.0799658849464832,0.1797075282546459,0.1214376203253897,0.1492034833265169,0.0338756496324152,0.0370776765853025,0.0370776765853025,1
2521,31,19,1142575.0,1917977.0,41.930982231,-87.76557448,7.498366391779296,0.7818314824680298,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0024339394906682,0.0227782820776267,0.2733992359026025,0.0227533441730092,0.0517062514339295,0.0503945176510488,0.0503945176510488,1
2432,49,1,1164737.0,1944193.0,42.002478396,-87.67132429,5.846971103824297,0.9749279121818236,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0184191363504872,0.0913774700994523,0.0236560963201627,0.0308382128500034,0.0338706620514917,0.0386437769952817,0.0386437769952817,1
512,21,49,1175943.0,1834303.0,41.700686415,-87.60450587,7.785852140801585,0.4338837391175582,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1,0.0021197218924877,0.1797075282546459,0.1214376203253897,0.0320452074334906,0.0398008957695338,0.0359305329728974,0.0359305329728974,1
414,8,46,1190593.0,1852136.0,41.749281782,-87.60574786,8.022052079498685,0.7818314824680298,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0.0014414108868916,0.031022753344173,0.2733992359026025,0.0317958283873155,0.0537960478408762,0.0944747578529461,0.0944747578529461,1
1624,45,15,1141348.0,1928437.0,41.959708224,-87.76614884,7.505055423834534,-0.7818314824680299,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0.0588434797354587,0.0913774700994523,0.1925355863898891,0.0762650999012459,0.0353868866522359,0.0275364342786461,0.0275364342786461,1
1113,28,26,1146386.0,1899812.0,41.881063743,-87.76819989,7.829969167638548,-0.9749279121818236,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,0.005401550140151,0.0227782820776267,0.0538259733264172,0.0227533441730092,0.0531476623208211,0.0370776765853025,0.0370776765853025,1
934,20,61,1168241.0,1868290.0,41.794120272,-87.66088702,7.391071664167407,0.9749279121818236,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,0.0064639048768566,0.0661053975600754,0.0144440343544574,0.0730231723009705,0.0438707618031102,0.042204909774661,0.042204909774661,1
1014,24,29,1151034.0,1890621.0,41.855752834,-87.70838196,6.96931400192214,0.7818314824680298,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0192221368791708,0.031022753344173,0.2733992359026025,0.0317958283873155,0.0410029027720974,0.0421400712226555,0.0421400712226555,1
1222,27,27,1157465.0,1900227.0,41.881984424,-87.70548813,7.054417918303311,-0.7818314824680299,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,9.975161847000968e-05,0.0026085048229907,0.0029376851639417,0.0063791160011571,0.0624594759049965,0.0565442049297249,0.0565442049297249,1
1022,24,30,1156297.0,1890226.0,41.854564312,-87.70838196,6.389279077795987,0.9749279121818236,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,0.0192221368791708,0.031022753344173,0.0538259733264172,0.0317958283873155,0.0410029027720974,0.0421400712226555,0.0421400712226555,1
215,3,38,1176998.0,1876214.0,41.815671368,-87.63056018,7.366170508385256,0.4338837391175582,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0.0799658849464832,0.1797075282546459,0.1925355863898891,0.1492034833265169,0.0506239463735299,0.0432423266067492,0.0432423266067492,1
431,10,51,1197465.0,1840300.0,41.716634354,-87.56834912,7.405349135188398,-0.9749279121818236,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0.0192221368791708,0.031022753344173,0.0144440343544574,0.0317958283873155,0.0537960478408762,0.0333968418637592,0.0333968418637592,1
2422,49,1,1163657.0,1950509.0,42.019832544,-87.67132429,7.711981102397086,-0.433883739117558,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0.0006334227772845,0.0227782820776267,0.0538259733264172,0.0227533441730092,0.0338706620514917,0.0386437769952817,0.0386437769952817,1
2512,36,18,1131321.0,1916235.0,41.926404101,-87.76557448,7.794004621059117,0.4338837391175582,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0,0.0446737623317938,0.2280521501461361,0.0005735718062025,0.2310895869285479,0.0517062514339295,0.0503945176510488,0.0503945176510488,1
